Name,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
布基纳法索,BFA,844.3421676,896.5984778,874.8064446,880.8914925,868.4635323,893.2406808,964.5869206,997.3647514,1040.667438,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924877,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.304708,1582.333697,1596.334581,1642.470189
孟加拉国,BGD,1287.933664,1301.699659,1341.763341,1374.418906,1397.318619,1437.639731,1470.907452,1504.87169,1550.318035,1590.251667,1641.958768,1692.829119,1725.632005,1775.978154,1838.76198,1929.938743,2031.271992,2148.473993,2252.168733,2339.865769,2442.728888,2570.850145,2706.586745,2835.767002,2973.041021,3132.56754,3319.353556
保加利亚,BGR,9296.945055,8596.50681,8057.39719,8001.70337,8174.888939,8446.242031,8549.741129,8508.290712,9109.062968,8390.067864,8833.439772,9350.77886,10123.36273,10730.00351,11507.04555,12419.9192,13374.90738,14463.17214,15442.13986,14984.59486,15283.27972,15676.13848,15772.08445,15938.93884,16324.34283,16999.11198,17792.68398
巴林,BHR,35113.33294,37996.64308,39506.17879,43499.08919,42334.37561,42896.71425,43504.5116,43624.15943,44315.45925,44562.3398,44942.36902,43887.07119,43147.49638,43187.49918,43355.30565,43201.80669,42673.08063,42755.4262,42218.14849,40717.18041,40570.53569,40164.58274,40960.33318,42680.20134,43837.34406,43926.47404,43750.79047
巴哈马,BHS,30991.96834,29152.33566,27508.44527,27081.17517,27455.0334,28221.967,29036.65595,29307.06201,30362.39197,32142.34177,32990.76145,33271.18322,33505.41317,32391.31379,31990.34987,32401.13972,32565.70703,32409.68704,31080.15801,29263.80325,29221.99118,28941.02823,29395.61972,28871.35826,28456.81653,28407.12582,27613.51794
波斯尼亚和黑塞哥维那,BIH,,,,,1471.354961,1825.998651,3508.169576,4749.727226,5493.533431,6007.085306,6324.70823,6594.979918,6936.19511,7207.076814,7642.580716,8311.479852,8766.515353,9293.291309,9824.68929,9573.015701,9720.009538,9901.589965,9929.68776,10284.76486,10516.76568,10932.4459,11337.55537
白俄罗斯,BLR,8366.632185,8262.178507,7452.924869,6871.033192,6074.24098,5460.138402,5631.806271,6300.497987,6862.297386,7125.522961,7574.405006,7973.113516,8428.863243,9085.886223,10195.51081,11230.33144,12429.2352,13560.22848,14995.07764,15058.60445,16260.59268,17166.69564,17472.32493,17644.85441,17933.34272,17219.12065,16763.03611
伯利兹,BLZ,5115.843479,5595.693826,6167.531638,6445.164698,6325.479185,6203.53947,6094.460658,6084.67325,6074.408044,6366.014786,6953.700926,7082.837721,7240.398559,7712.127436,7867.169366,7865.214182,8014.231977,7894.839333,7943.243462,7798.759099,7870.117398,7855.082443,7905.521958,7799.599398,7914.819899,8013.421712,7799.877687
百慕大,BMU,40553.25852,39322.10918,39584.32986,40557.22016,40518.40782,41999.25946,42816.96324,44514.10942,45911.6865,47199.84145,51140.23684,54245.14964,53096.92549,54549.80116,55452.63888,56017.19162,58784.59329,60117.45991,60675.98209,57151.91913,56395.0078,54984.51039,52137.30037,50669.31477,,,
玻利维亚,BOL,3707.24493,3826.432549,3813.526471,3898.646344,4000.832354,4106.168962,4201.558009,4323.761615,4453.294757,4386.792444,4412.255566,4403.716952,4431.306088,4470.309111,4575.172868,4694.916606,4836.432529,4972.49627,5191.131904,5278.038268,5407.47022,5598.508445,5792.933051,6090.69557,6324.827258,6531.519398,6707.956184
巴西,BRA,10317.49824,10292.62915,10073.05782,10370.65322,10747.92529,11043.43367,11108.12605,11304.81581,11168.03123,11052.1672,11370.71941,11369.00712,11560.04813,11542.56935,12058.32158,12299.3795,12644.94944,13271.05749,13806.0065,13653.01398,14539.08486,14973.09847,15118.14226,15430.26577,15370.99295,14700.07571,14098.4364
巴巴多斯,BRB,14153.3882,13552.65526,12562.33359,12672.08408,13105.561,13323.08335,13800.31417,14400.15937,14882.76036,14877.29079,15486.51706,15071.54115,15147.95896,15430.97978,15600.34818,16166.15108,17018.57123,17249.15055,17197.60169,16446.09461,16424.9281,16472.0832,16460.67146,16408.31751,16360.55461,16460.15411,16744.64236
文莱达鲁萨兰国,BRN,84672.3915,84879.79213,86423.28356,84290.36664,84607.17457,86116.01773,86411.96446,83138.22352,80813.33691,81476.15172,82049.58086,82596.77622,84125.44059,84970.73553,83942.21941,82967.11276,85424.55836,84503.53876,81905.65813,79512.75501,80552.86447,82434.88309,81993.93208,79070.24593,76089.28657,74600.1643,71788.78323
不丹,BTN,2325.241884,2315.740538,2448.530372,2537.303845,2697.03839,2896.949919,3032.228139,3137.937414,3241.365254,3403.551845,3538.773616,3723.981551,4009.251956,4198.587428,4329.159846,4521.985678,4719.665364,5446.362486,5592.162848,5851.678019,6419.675599,6805.878456,7032.74666,7070.792468,7366.424126,7746.760529,8259.342231
博茨瓦纳,BWA,7939.286945,8297.689954,8310.371825,8249.409094,8337.129566,8715.85175,9022.900391,9573.746638,9431.975128,10159.79247,10191.00704,10061.71738,10522.41105,10860.37564,11001.85681,11338.78049,12102.03598,12897.14561,13477.78707,12235.63411,13052.80902,13596.16709,13943.89469,15239.73822,15578.82512,15032.69833,15395.27584
中非共和国,CAF,925.0538529,897.1031407,817.4585969,798.1771936,815.1365735,851.6480711,797.8179864,820.6385925,840.0841927,851.5964989,813.0415579,832.2279245,845.6846565,785.159427,817.1706459,810.0349482,833.7663895,857.0792965,860.6778285,863.692983,881.1445508,904.6104858,938.8237795,593.0559545,597.135169,621.5698429,642.873494
加拿大,CAN,31299.65457,30220.36078,30115.28124,30578.44562,31646.81026,32226.22694,32394.57787,33425.81513,34424.05206,35903.15453,37431.91698,37712.12824,38500.31708,38805.67111,39604.35486,40471.26053,41203.3504,41647.38781,41611.25081,39924.1959,40699.35513,41565.27122,41794.53892,42339.37888,43079.14252,43149.47584,43238.2596
中歐和波羅的海,CEB,12246.33534,11073.86523,10866.13399,11044.75563,11501.01553,12182.6396,12730.31546,13109.10902,13492.86156,13757.00382,14388.04544,14944.7835,15577.47303,16330.41165,17310.09292,18203.17048,19455.29969,20779.82781,21685.13828,20983.77464,21387.89337,22133.68247,22374.68455,22753.11765,23502.86809,24455.04057,25307.19199
瑞士,CHE,48181.75578,47147.53929,46610.1898,46129.44181,46344.26035,46256.97059,46301.83304,47271.35553,48540.27293,49128.03357,50775.97634,51117.88744,50815.15316,50459.50291,51505.09237,52770.46893,54531.9937,56269.1565,56755.83813,54805.57929,55866.30507,56183.83259,56149.67086,56535.74005,57218.02793,57324.67907,57610.00846
海峡群岛,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,8991.846477,9538.654631,10437.98489,10956.11456,11336.78427,12172.25856,12819.8977,13587.50678,13991.42305,13758.91443,14315.42606,14613.80387,14895.54019,15332.29703,16258.38895,17007.57982,17890.59972,18572.56839,19031.61643,18547.46153,19442.05032,20437.70453,21330.23991,21998.30715,22195.27437,22516.60786,22614.39367
中国,CHN,1526.408699,1645.666366,1856.722181,2090.03841,2336.277721,2564.071317,2789.2528,3015.699631,3221.002621,3438.074685,3700.743648,3980.364498,4314.791343,4718.326346,5164.641095,5719.455366,6411.042544,7285.274415,7947.787952,8651.725901,9525.818483,10384.3666,11145.75158,11951.24796,12758.64779,13569.89153,14400.88506
